item_id,pair_id,version,item_type,family_id,family_name,construct,q_vector,prime_text,target_text,target_lemma,critical_region,critical_region_word_pos,expected_response,name_in_prime,np_type,oddness_type,error_type,target_word_count,target_char_count,prime_word_count,lemma_letters,lemma_syllables,zipf_wordfreq,cefr_j_level,aoa_kuperman,concreteness,katakana_cognate,gairaigo_mismatch,dual_violation_flag,audio_duration_ms_est,prime_duration_ms_est,list_form,run_assignment_A,run_assignment_B,trial_index_A,trial_index_B,changed_from_v2
P043U,P043,U,critical,F08,count_to_mass_food_context,count2mass_food,110010,Emma cooked the soft vegetable in the soup.,Emma used too many carrot.,carrot,many carrot,4,no,Emma,proper_name,,,5,26,8,6,2,3.62,C1,4.0,5.0,0,0,1,2051,3162,A,4.0,,26.0,,prime: grating→cooked-soft; name: Maya→Emma
P044G,P044,G,critical,F08,count_to_mass_food_context,count2mass_food,110010,Noah cut the vegetable into very small pieces.,Noah added too much onion.,onion,much onion,4,yes,Noah,proper_name,,,5,26,8,5,1,3.89,C1,4.5,5.0,0,0,1,2051,3162,B,,1.0,,30.0,prime: chopping→cut-small; name: Owen→Noah
P044U,P044,U,critical,F08,count_to_mass_food_context,count2mass_food,110010,Noah cut the vegetable into very small pieces.,Noah added too many onion.,onion,many onion,4,no,Noah,proper_name,,,5,26,8,5,1,3.89,C1,4.5,5.0,0,0,1,2051,3162,A,2.0,,27.0,,prime: chopping→cut-small; name: Owen→Noah
P045G,P045,G,critical,F08,count_to_mass_food_context,count2mass_food,110010,Mira cooked the fruit until it became creamy.,Mira spread too much strawberry.,strawberry,much strawberry,4,yes,Mira,proper_name,,,5,32,8,10,3,3.72,C1,4.0,5.0,2,0,1,2051,3162,B,,4.0,,24.0,LEMMA: chicken→strawberry; verb: mixed→spread; name: Sara→Mira
P045U,P045,U,critical,F08,count_to_mass_food_context,count2mass_food,110010,Mira cooked the fruit until it became creamy.,Mira spread too many strawberry.,strawberry,many strawberry,4,no,Mira,proper_name,,,5,32,8,10,3,3.72,C1,4.0,5.0,2,0,1,2051,3162,A,3.0,,5.0,,LEMMA: chicken→strawberry; verb: mixed→spread; name: Sara→Mira
P046G,P046,G,critical,F08,count_to_mass_food_context,count2mass_food,110010,Leo boiled the fruit until it became thin.,Leo blended too much tomato.,tomato,much tomato,4,yes,Leo,proper_name,,,5,28,8,6,2,3.85,C1,4.0,5.0,2,0,1,2051,3162,B,,1.0,,9.0,prime: crushing→boiled-thin; name: Noah→Leo
P046U,P046,U,critical,F08,count_to_mass_food_context,count2mass_food,110010,Leo boiled the fruit until it became thin.,Leo blended too many tomato.,tomato,many tomato,4,no,Leo,proper_name,,,5,28,8,6,2,3.85,C1,4.0,5.0,2,0,1,2051,3162,A,1.0,,9.0,,prime: crushing→boiled-thin; name: Noah→Leo
P047G,P047,G,critical,F08,count_to_mass_food_context,count2mass_food,110010,Lena cut the vegetable into thin strips.,Lena tossed too much cabbage.,cabbage,much mushroom,4,yes,Lena,proper_name,,,5,29,7,7,2,4.45,B2,5.0,5.0,0,0,1,2051,2792,B,,3.0,,23.0,LEMMA: pepper→mushroom; verb: sprinkled→tossed
P047U,P047,U,critical,F08,count_to_mass_food_context,count2mass_food,110010,Lena cut the vegetable into thin strips.,Lena tossed too many cabbage.,cabbage,many mushroom,4,no,Lena,proper_name,,,5,29,7,7,2,4.45,B2,5.0,5.0,0,0,1,2051,2792,A,1.0,,31.0,,LEMMA: pepper→mushroom; verb: sprinkled→tossed
P048G,P048,G,critical,F08,count_to_mass_food_context,count2mass_food,110010,Tyler pressed the fruit until it became soft.,Tyler mixed too much blueberry.,blueberry,much blueberry,4,yes,Tyler,proper_name,,,5,31,8,9,3,3.3,C1,4.5,5.0,2,0,1,2051,3162,B,,4.0,,32.0,LEMMA: garlic→blueberry; verb: stirred→included; name: Emma→Tyler
P048U,P048,U,critical,F08,count_to_mass_food_context,count2mass_food,110010,Tyler pressed the fruit until it became soft.,Tyler mixed too many blueberry.,blueberry,many blueberry,4,no,Tyler,proper_name,,,5,31,8,9,3,3.3,C1,4.5,5.0,2,0,1,2051,3162,A,4.0,,22.0,,LEMMA: garlic→blueberry; verb: stirred→included; name: Emma→Tyler
P049G,P049,G,critical,F09,mass_to_serving_count,mass2serving,110100,Maya sat in the cafe noticing separate cups.,Maya had three coffees today.,coffee,three coffees,3,yes,Maya,proper_name,,,5,29,8,6,2,4.86,B1,5.0,5.0,2,0,0,2051,3162,B,,1.0,,21.0,no
P049U,P049,U,critical,F09,mass_to_serving_count,mass2serving,110100,Maya sat in the cafe noticing separate cups.,Maya had three coffee today.,coffee,three coffee,3,no,Maya,proper_name,,,5,28,8,6,2,4.86,B1,5.0,5.0,2,0,0,2051,3162,A,3.0,,8.0,,no
P050G,P050,G,critical,F09,mass_to_serving_count,mass2serving,110100,Owen entered the shop offering hot drinks separately.,Owen drank two teas yesterday.,tea,two teas,3,yes,Owen,proper_name,,,5,30,8,3,1,4.73,B1,4.5,5.0,1,0,0,2051,3162,B,,2.0,,30.0,no
P050U,P050,U,critical,F09,mass_to_serving_count,mass2serving,110100,Owen entered the shop offering hot drinks separately.,Owen drank two tea yesterday.,tea,two tea,3,no,Owen,proper_name,,,5,29,8,3,1,4.73,B1,4.5,5.0,1,0,0,2051,3162,A,1.0,,23.0,,no
P051G,P051,G,critical,F09,mass_to_serving_count,mass2serving,110100,Kenji visited the cafe with separate fruit drinks.,Kenji enjoyed four juices lately.,juice,four juices,3,yes,Kenji,proper_name,,,5,33,8,5,1,4.36,B2,3.5,5.0,2,0,0,2051,3162,B,,4.0,,22.0,adv: today→lately; name: Sara→Kenji
P051U,P051,U,critical,F09,mass_to_serving_count,mass2serving,110100,Kenji visited the cafe with separate fruit drinks.,Kenji enjoyed four juice lately.,juice,four juice,3,no,Kenji,proper_name,,,5,32,8,5,1,4.36,B2,3.5,5.0,2,0,0,2051,3162,A,4.0,,29.0,,adv: today→lately; name: Sara→Kenji
P052G,P052,G,critical,F09,mass_to_serving_count,mass2serving,110100,Tyler ate at the diner with separate bowls.,Tyler tried three soups recently.,soup,three soups,3,yes,Tyler,proper_name,,,5,33,8,4,1,4.15,B2,3.5,5.0,2,0,0,2051,3162,B,,3.0,,4.0,prime: dined→ate; adv: yesterday→recently; name: Noah→Tyler
P052U,P052,U,critical,F09,mass_to_serving_count,mass2serving,110100,Tyler ate at the diner with separate bowls.,Tyler tried three soup recently.,soup,three soup,3,no,Tyler,proper_name,,,5,32,8,4,1,4.15,B2,3.5,5.0,2,0,0,2051,3162,A,2.0,,12.0,,prime: dined→ate; adv: yesterday→recently; name: Noah→Tyler
P053G,P053,G,critical,F09,mass_to_serving_count,mass2serving,110100,Aya browsed the cafeteria with individual cartons.,Aya bought two milks daily.,milk,two milks,3,yes,Aya,proper_name,,,5,27,7,4,1,4.66,B1,3.0,5.0,2,0,0,2051,2792,B,,2.0,,9.0,adv: today→daily; name: Lena→Aya
P053U,P053,U,critical,F09,mass_to_serving_count,mass2serving,110100,Aya browsed the cafeteria with individual cartons.,Aya bought two milk daily.,milk,two milk,3,no,Aya,proper_name,,,5,26,7,4,1,4.66,B1,3.0,5.0,2,0,0,2051,2792,A,2.0,,20.0,,adv: today→daily; name: Lena→Aya
P054G,P054,G,critical,F09,mass_to_serving_count,mass2serving,110100,Leo chose the restaurant listing bottled drinks.,Leo ordered three waters quickly.,water,three waters,3,yes,Leo,proper_name,,,5,33,7,5,2,5.52,A1,3.0,5.0,0,0,0,2051,2792,B,,1.0,,23.0,adv: today→quickly; name: Emma→Leo
P054U,P054,U,critical,F09,mass_to_serving_count,mass2serving,110100,Leo chose the restaurant listing bottled drinks.,Leo ordered three water quickly.,water,three water,3,no,Leo,proper_name,,,5,32,7,5,2,5.52,A1,3.0,5.0,0,0,0,2051,2792,A,1.0,,17.0,,adv: today→quickly; name: Emma→Leo
P055G,P055,G,critical,F10,mass_to_kind_count,mass2kind,110100,Sara tried many different red drinks recently.,These wines taste really mild.,wine,These wines,1,yes,Sara,proper_name,,,5,30,7,4,1,4.74,B1,7.0,5.0,2,0,0,2051,2792,B,,2.0,,22.0,prime: vineyard→red drinks; name: Maya→Sara
P055U,P055,U,critical,F10,mass_to_kind_count,mass2kind,110100,Sara tried many different red drinks recently.,These wine taste really mild.,wine,These wine,1,no,Sara,proper_name,,,5,29,7,4,1,4.74,B1,7.0,5.0,2,0,0,2051,2792,A,2.0,,31.0,,prime: vineyard→red drinks; name: Maya→Sara
P056G,P056,G,critical,F10,mass_to_kind_count,mass2kind,110100,Noah sampled many different aged kinds today.,These cheeses smell really sharp.,cheese,These cheeses,1,yes,Noah,proper_name,,,5,33,7,6,1,4.57,B1,4.0,5.0,2,0,0,2051,2792,B,,3.0,,28.0,prime: artisan→aged kinds; verb: taste→smell; name: Owen→Noah
P056U,P056,U,critical,F10,mass_to_kind_count,mass2kind,110100,Noah sampled many different aged kinds today.,These cheese smell really sharp.,cheese,These cheese,1,no,Noah,proper_name,,,5,32,7,6,1,4.57,B1,4.0,5.0,2,0,0,2051,2792,A,1.0,,20.0,,prime: artisan→aged kinds; verb: taste→smell; name: Owen→Noah
P057G,P057,G,critical,F10,mass_to_kind_count,mass2kind,110100,Lena compared many different cooking liquids today.,These oils feel really smooth.,oil,These oils,1,yes,Lena,proper_name,,,5,30,7,3,1,5.1,A2,5.0,4.8,2,0,0,2051,2792,B,,1.0,,28.0,prime simplified; verb: taste→feel; name: Sara→Lena
P057U,P057,U,critical,F10,mass_to_kind_count,mass2kind,110100,Lena compared many different cooking liquids today.,These oil feel really smooth.,oil,These oil,1,no,Lena,proper_name,,,5,29,7,3,1,5.1,A2,5.0,4.8,2,0,0,2051,2792,A,3.0,,9.0,,prime simplified; verb: taste→feel; name: Sara→Lena
P058G,P058,G,critical,F10,mass_to_kind_count,mass2kind,110100,Emma tried many different sharp flavors today.,These vinegars smell really sour.,vinegar,These vinegars,1,yes,Emma,proper_name,,,5,33,7,7,2,3.64,C1,7.0,4.8,0,0,0,2051,2792,B,,2.0,,6.0,LEMMA: bread→vinegar; verb: taste→smell; adj: tangy→sour; name: Noah→Emma
P058U,P058,U,critical,F10,mass_to_kind_count,mass2kind,110100,Emma tried many different sharp flavors today.,These vinegar smell really sour.,vinegar,These vinegar,1,no,Emma,proper_name,,,5,32,7,7,2,3.64,C1,7.0,4.8,0,0,0,2051,2792,A,4.0,,14.0,,LEMMA: bread→vinegar; verb: taste→smell; adj: tangy→sour; name: Noah→Emma
P059G,P059,G,critical,F10,mass_to_kind_count,mass2kind,110100,Tyler visited the bee farm with different samples.,These honeys taste really sweet.,honey,These honeys,1,yes,Tyler,proper_name,,,5,32,8,5,2,4.37,B2,5.0,4.8,1,0,0,2051,3162,B,,4.0,,15.0,LEMMA: chocolate→honey; prime: chocolatier→bee farm; adj: rich→sweet; name: Lena→Tyler
P059U,P059,U,critical,F10,mass_to_kind_count,mass2kind,110100,Tyler visited the bee farm with different samples.,These honey taste really sweet.,honey,These honey,1,no,Tyler,proper_name,,,5,31,8,5,2,4.37,B2,5.0,4.8,1,0,0,2051,3162,A,3.0,,18.0,,LEMMA: chocolate→honey; prime: chocolatier→bee farm; adj: rich→sweet; name: Lena→Tyler
P060G,P060,G,critical,F10,mass_to_kind_count,mass2kind,110100,Aiden visited the farm with different sweet jars.,These jams look really fresh.,jam,These jams,1,yes,Aiden,proper_name,,,5,29,8,3,1,4.17,B2,4.5,4.8,2,0,0,2051,3162,B,,3.0,,12.0,LEMMA: butter→jam; prime: dairy→farm; verb: taste→look; adj: creamy→fresh; name: Emma→Aiden
P060U,P060,U,critical,F10,mass_to_kind_count,mass2kind,110100,Aiden visited the farm with different sweet jars.,These jam look really fresh.,jam,These jam,1,no,Aiden,proper_name,,,5,28,8,3,1,4.17,B2,4.5,4.8,2,0,0,2051,3162,A,2.0,,28.0,,LEMMA: butter→jam; prime: dairy→farm; verb: taste→look; adj: creamy→fresh; name: Emma→Aiden
P061G,P061,G,critical,F11,fixed_noncount_plural_error,fixed_noncount+plural,000101,"When decorating her new apartment, Nora visited shops.",Nora arranged beautiful furniture gently.,furniture,furniture,4,yes,Nora,proper_name,,,5,41,8,9,3,4.29,B2,6.0,4.5,0,0,0,2051,3312,B,,3.0,,27.0,adv: today→gently; name: Mira→Nora
P061U,P061,U,critical,F11,fixed_noncount_plural_error,fixed_noncount+plural,000101,"When decorating her new apartment, Nora visited shops.",Nora arranged beautiful furnitures gently.,furniture,furnitures,4,no,Nora,proper_name,,,5,42,8,9,3,4.29,B2,6.0,4.5,0,0,0,2051,3312,A,4.0,,32.0,,adv: today→gently; name: Mira→Nora
P062G,P062,G,critical,F11,fixed_noncount_plural_error,fixed_noncount+plural,000101,"Before the camping trip, Owen searched the store.",Owen rented expensive equipment yesterday.,equipment,equipment,4,yes,Owen,proper_name,,,5,42,8,9,2,4.88,B1,7.5,4.3,0,0,0,2051,3312,B,,2.0,,19.0,no
P062U,P062,U,critical,F11,fixed_noncount_plural_error,fixed_noncount+plural,000101,"Before the camping trip, Owen searched the store.",Owen rented expensive equipments yesterday.,equipment,equipments,4,no,Owen,proper_name,,,5,43,8,9,2,4.88,B1,7.5,4.3,0,0,0,2051,3312,A,4.0,,10.0,,no
P063G,P063,G,critical,F11,fixed_noncount_plural_error,fixed_noncount+plural,000101,"Before the international flight, Aya packed carefully.",Aya checked heavy luggage recently.,luggage,luggage,4,yes,Aya,proper_name,,,5,35,7,7,2,3.8,C1,6.5,4.8,0,0,0,2051,2942,B,,4.0,,1.0,adv: today→recently
P063U,P063,U,critical,F11,fixed_noncount_plural_error,fixed_noncount+plural,000101,"Before the international flight, Aya packed carefully.",Aya checked heavy luggages recently.,luggage,luggages,4,no,Aya,proper_name,,,5,36,7,7,2,3.8,C1,6.5,4.8,0,0,0,2051,2942,A,1.0,,5.0,,adv: today→recently
P064G,P064,G,critical,F11,fixed_noncount_plural_error,fixed_noncount+plural,000101,"For the winter season, Ren explored the mall.",Ren purchased warm clothing lately.,clothing,clothing,4,yes,Ren,proper_name,,,5,35,8,8,2,4.47,B2,7.0,4.5,0,0,0,2051,3312,B,,3.0,,9.0,adv: yesterday→lately; name: Tyler→Ren
P064U,P064,U,critical,F11,fixed_noncount_plural_error,fixed_noncount+plural,000101,"For the winter season, Ren explored the mall.",Ren purchased warm clothings lately.,clothing,clothings,4,no,Ren,proper_name,,,5,36,8,8,2,4.47,B2,7.0,4.5,0,0,0,2051,3312,A,3.0,,1.0,,adv: yesterday→lately; name: Tyler→Ren
P065G,P065,G,critical,F11,fixed_noncount_plural_error,fixed_noncount+plural,000101,"Before the wedding party, Yuki browsed the store.",Yuki selected expensive jewelry briefly.,jewelry,jewelry,4,yes,Yuki,proper_name,,,5,40,8,7,3,4.12,B2,6.5,4.8,2,0,0,2051,3312,B,,4.0,,27.0,adv: today→briefly
P065U,P065,U,critical,F11,fixed_noncount_plural_error,fixed_noncount+plural,000101,"Before the wedding party, Yuki browsed the store.",Yuki selected expensive jewelries briefly.,jewelry,jewelries,4,no,Yuki,proper_name,,,5,42,8,7,3,4.12,B2,6.5,4.8,2,0,0,2051,3312,A,3.0,,11.0,,adv: today→briefly
P066G,P066,G,critical,F11,fixed_noncount_plural_error,fixed_noncount+plural,000101,"Before the trip, Kenji visited the outdoor store.",Kenji bought new footwear nearby.,footwear,footwear,4,yes,Kenji,proper_name,,,5,33,8,8,1,3.42,C1,8.0,4.8,0,0,0,2051,3312,B,,1.0,,12.0,LEMMA: software→footwear; adv: yesterday→nearby
P066U,P066,U,critical,F11,fixed_noncount_plural_error,fixed_noncount+plural,000101,"Before the trip, Kenji visited the outdoor store.",Kenji bought new footwears nearby.,footwear,footwears,4,no,Kenji,proper_name,,,5,34,8,8,1,3.42,C1,8.0,4.8,0,0,0,2051,3312,A,2.0,,21.0,,LEMMA: software→footwear; adv: yesterday→nearby
P067G,P067,G,critical,F12,plural_only_pair_nouns,plurale_tantum+agreement,000101,"At the clothing store, Nora found new items.",These jeans look really comfortable.,jeans,These jeans,1,yes,Nora,proper_name,,,5,36,8,5,1,4.09,B2,5.5,5.0,2,0,0,2051,3312,B,,4.0,,7.0,no
P067U,P067,U,critical,F12,plural_only_pair_nouns,plurale_tantum+agreement,000101,"At the clothing store, Nora found new items.",This jeans looks really comfortable.,jeans,This jeans,1,no,Nora,proper_name,,,5,36,8,5,1,4.09,B2,5.5,5.0,2,0,0,2051,3312,A,1.0,,33.0,,no
P068G,P068,G,critical,F12,plural_only_pair_nouns,plurale_tantum+agreement,000101,"For the summer trip, Ren packed lighter clothes.",These shorts seem really cool.,shorts,These shorts,1,yes,Ren,proper_name,,,5,30,8,6,1,4.07,B2,5.0,5.0,2,1,0,2051,3312,B,,4.0,,29.0,no
P068U,P068,U,critical,F12,plural_only_pair_nouns,plurale_tantum+agreement,000101,"For the summer trip, Ren packed lighter clothes.",This shorts seems really cool.,shorts,This shorts,1,no,Ren,proper_name,,,5,30,8,6,1,4.07,B2,5.0,5.0,2,1,0,2051,3312,A,2.0,,13.0,,no
P069G,P069,G,critical,F12,plural_only_pair_nouns,plurale_tantum+agreement,000101,"On the bright sunny day, Maya looked outside.",These sunglasses fit really well.,sunglasses,These sunglasses,1,yes,Maya,proper_name,,,5,33,8,10,3,3.72,C1,5.0,5.0,2,0,0,2051,3312,B,,3.0,,21.0,prime: squinted→looked
P069U,P069,U,critical,F12,plural_only_pair_nouns,plurale_tantum+agreement,000101,"On the bright sunny day, Maya looked outside.",This sunglasses fits really well.,sunglasses,This sunglasses,1,no,Maya,proper_name,,,5,33,8,10,3,3.72,C1,5.0,5.0,2,0,0,2051,3312,A,1.0,,13.0,,prime: squinted→looked
P070G,P070,G,critical,F12,plural_only_pair_nouns,plurale_tantum+agreement,000101,"For the craft project, Aiden opened the drawer.",These scissors cut really smoothly.,scissors,These scissors,1,yes,Aiden,proper_name,,,5,35,8,8,2,3.58,C1,4.5,5.0,0,0,0,2051,3312,B,,2.0,,28.0,no
P070U,P070,U,critical,F12,plural_only_pair_nouns,plurale_tantum+agreement,000101,"For the craft project, Aiden opened the drawer.",This scissors cuts really smoothly.,scissors,This scissors,1,no,Aiden,proper_name,,,5,35,8,8,2,3.58,C1,4.5,5.0,0,0,0,2051,3312,A,3.0,,15.0,,no
P071G,P071,G,critical,F12,plural_only_pair_nouns,plurale_tantum+agreement,000101,"For the long flight, Lena packed her things.",These headphones sound really clear.,headphones,These headphones,1,yes,Lena,proper_name,,,5,36,8,10,2,3.88,C1,7.0,5.0,2,0,0,2051,3312,B,,1.0,,15.0,prime: gadgets→things
P071U,P071,U,critical,F12,plural_only_pair_nouns,plurale_tantum+agreement,000101,"For the long flight, Lena packed her things.",This headphones sounds really clear.,headphones,This headphones,1,no,Lena,proper_name,,,5,36,8,10,2,3.88,C1,7.0,5.0,2,0,0,2051,3312,A,4.0,,5.0,,prime: gadgets→things
P072G,P072,G,critical,F12,plural_only_pair_nouns,plurale_tantum+agreement,000101,"For the overnight trip, Ethan packed comfortable clothes.",These pajamas feel really soft.,pajamas,These pajamas,1,yes,Ethan,proper_name,,,5,31,8,7,3,3.31,C1,4.5,5.0,2,0,0,2051,3312,B,,1.0,,20.0,prime: slumber party→overnight trip
P072U,P072,U,critical,F12,plural_only_pair_nouns,plurale_tantum+agreement,000101,"For the overnight trip, Ethan packed comfortable clothes.",This pajamas feels really soft.,pajamas,This pajamas,1,no,Ethan,proper_name,,,5,31,8,7,3,3.31,C1,4.5,5.0,2,0,0,2051,3312,A,4.0,,15.0,,prime: slumber party→overnight trip
P073G,P073,G,critical,F13,concrete_mass_many_much,conc_mass+much/many,100010,Aya worked at the recycling center sorting materials.,Aya gathered much plastic weekly.,plastic,much plastic,3,yes,Aya,proper_name,,,5,33,8,7,2,4.51,B1,6.0,4.8,2,0,0,2051,3162,B,,2.0,,12.0,new (Batch 5)
P073U,P073,U,critical,F13,concrete_mass_many_much,conc_mass+much/many,100010,Aya worked at the recycling center sorting materials.,Aya gathered many plastic weekly.,plastic,many plastic,3,no,Aya,proper_name,,,5,33,8,7,2,4.51,B1,6.0,4.8,2,0,0,2051,3162,A,1.0,,27.0,,new (Batch 5)
P074G,P074,G,critical,F13,concrete_mass_many_much,conc_mass+much/many,100010,"At the construction site, Leo organized building materials.",Leo found much metal lately.,metal,much metal,3,yes,Leo,proper_name,,,5,28,8,5,2,4.82,B1,6.5,5.0,0,0,0,2051,3312,B,,3.0,,3.0,new (Batch 5)
P074U,P074,U,critical,F13,concrete_mass_many_much,conc_mass+much/many,100010,"At the construction site, Leo organized building materials.",Leo found many metal lately.,metal,many metal,3,no,Leo,proper_name,,,5,28,8,5,2,4.82,B1,6.5,5.0,0,0,0,2051,3312,A,2.0,,34.0,,new (Batch 5)
P075G,P075,G,critical,F13,concrete_mass_many_much,conc_mass+much/many,100010,"At the fashion shop, Emma checked bag samples.",Emma needed much leather often.,leather,much leather,3,yes,Emma,proper_name,,,5,31,8,7,1,4.35,B2,7.0,4.8,0,0,0,2051,3312,B,,1.0,,1.0,new (Batch 5)
P075U,P075,U,critical,F13,concrete_mass_many_much,conc_mass+much/many,100010,"At the fashion shop, Emma checked bag samples.",Emma needed many leather often.,leather,many leather,3,no,Emma,proper_name,,,5,31,8,7,1,4.35,B2,7.0,4.8,0,0,0,2051,3312,A,3.0,,24.0,,new (Batch 5)
P076G,P076,G,critical,F13,concrete_mass_many_much,conc_mass+much/many,100010,Ren worked at the jewelry shop cleaning items.,Ren collected much silver carefully.,silver,much silver,3,yes,Ren,proper_name,,,5,36,8,6,2,4.81,B1,5.0,4.8,0,0,0,2051,3162,B,,1.0,,4.0,new (Batch 5)
P076U,P076,U,critical,F13,concrete_mass_many_much,conc_mass+much/many,100010,Ren worked at the jewelry shop cleaning items.,Ren collected many silver carefully.,silver,many silver,3,no,Ren,proper_name,,,5,36,8,6,2,4.81,B1,5.0,4.8,0,0,0,2051,3162,A,1.0,,30.0,,new (Batch 5)
P077G,P077,G,critical,F13,concrete_mass_many_much,conc_mass+much/many,100010,"When baking cookies, Mira measured sweet ingredients.",Mira added much sugar slowly.,sugar,much sugar,3,yes,Mira,proper_name,,,5,29,7,5,2,4.68,B1,4.0,4.8,0,0,0,2051,2942,B,,4.0,,17.0,new (Batch 5)
P077U,P077,U,critical,F13,concrete_mass_many_much,conc_mass+much/many,100010,"When baking cookies, Mira measured sweet ingredients.",Mira added many sugar slowly.,sugar,many sugar,3,no,Mira,proper_name,,,5,29,7,5,2,4.68,B1,4.0,4.8,0,0,0,2051,2942,A,4.0,,7.0,,new (Batch 5)
P078G,P078,G,critical,F13,concrete_mass_many_much,conc_mass+much/many,100010,"After the school festival, Noah cleaned the playground.",Noah collected much garbage daily.,garbage,much garbage,3,yes,Noah,proper_name,,,5,34,8,7,1,4.18,B2,5.5,4.5,0,0,0,2051,3312,B,,2.0,,2.0,new (Batch 5)
P078U,P078,U,critical,F13,concrete_mass_many_much,conc_mass+much/many,100010,"After the school festival, Noah cleaned the playground.",Noah collected many garbage daily.,garbage,many garbage,3,no,Noah,proper_name,,,5,34,8,7,1,4.18,B2,5.5,4.5,0,0,0,2051,3312,A,2.0,,10.0,,new (Batch 5)
P079G,P079,G,critical,F14,abstract_count_plural_after_numeral,abs_count+numeral+plural,000100,"At the team meeting, Yuki led the discussion.",Yuki raised three topics briefly.,topic,three topics,3,yes,Yuki,proper_name,,,5,33,8,5,2,4.49,B2,8.0,2.5,2,0,0,2051,3312,B,,2.0,,21.0,new (Batch 5)
P079U,P079,U,critical,F14,abstract_count_plural_after_numeral,abs_count+numeral+plural,000100,"At the team meeting, Yuki led the discussion.",Yuki raised three topic briefly.,topic,three topic,3,no,Yuki,proper_name,,,5,32,8,5,2,4.49,B2,8.0,2.5,2,0,0,2051,3312,A,2.0,,17.0,,new (Batch 5)
P080G,P080,G,critical,F14,abstract_count_plural_after_numeral,abs_count+numeral+plural,000100,"When arriving late, Ethan apologized to the teacher.",Ethan made four excuses already.,excuse,four excuses,3,yes,Ethan,proper_name,,,5,32,8,6,2,4.56,B1,6.0,2.5,1,0,0,2051,3312,B,,1.0,,32.0,new (Batch 5)
P080U,P080,U,critical,F14,abstract_count_plural_after_numeral,abs_count+numeral+plural,000100,"When arriving late, Ethan apologized to the teacher.",Ethan made four excuse already.,excuse,four excuse,3,no,Ethan,proper_name,,,5,31,8,6,2,4.56,B1,6.0,2.5,1,0,0,2051,3312,A,2.0,,4.0,,new (Batch 5)
P081G,P081,G,critical,F14,abstract_count_plural_after_numeral,abs_count+numeral+plural,000100,"While editing her report, Lena checked the work.",Lena found five errors easily.,error,five errors,3,yes,Lena,proper_name,,,5,30,8,5,2,4.55,B1,8.5,2.8,2,0,0,2051,3312,B,,2.0,,27.0,new (Batch 5)
P081U,P081,U,critical,F14,abstract_count_plural_after_numeral,abs_count+numeral+plural,000100,"While editing her report, Lena checked the work.",Lena found five error easily.,error,five error,3,no,Lena,proper_name,,,5,29,8,5,2,4.55,B1,8.5,2.8,2,0,0,2051,3312,A,4.0,,24.0,,new (Batch 5)
P082G,P082,G,critical,F14,abstract_count_plural_after_numeral,abs_count+numeral+plural,000100,Tyler joined the history class discussion this week.,Tyler expressed six beliefs strongly.,belief,six beliefs,3,yes,Tyler,proper_name,,,5,37,8,6,2,4.46,B2,8.5,2.0,0,0,0,2051,3162,B,,3.0,,33.0,new (Batch 5)
P082U,P082,U,critical,F14,abstract_count_plural_after_numeral,abs_count+numeral+plural,000100,Tyler joined the history class discussion this week.,Tyler expressed six belief strongly.,belief,six belief,3,no,Tyler,proper_name,,,5,36,8,6,2,4.46,B2,8.5,2.0,0,0,0,2051,3162,A,3.0,,6.0,,new (Batch 5)
P083G,P083,G,critical,F14,abstract_count_plural_after_numeral,abs_count+numeral+plural,000100,"On the camping trip, Nora entertained the children.",Nora told seven legends nicely.,legend,seven legends,3,yes,Nora,proper_name,,,5,31,8,6,2,4.44,B2,7.0,3.0,2,0,0,2051,3312,B,,4.0,,20.0,new (Batch 5)
P083U,P083,U,critical,F14,abstract_count_plural_after_numeral,abs_count+numeral+plural,000100,"On the camping trip, Nora entertained the children.",Nora told seven legend nicely.,legend,seven legend,3,no,Nora,proper_name,,,5,30,8,6,2,4.44,B2,7.0,3.0,2,0,0,2051,3312,A,1.0,,19.0,,new (Batch 5)
P084G,P084,G,critical,F14,abstract_count_plural_after_numeral,abs_count+numeral+plural,000100,"Before the company meeting, Aiden prepared documents.",Aiden wrote four proposals neatly.,proposal,four proposals,3,yes,Aiden,proper_name,,,5,34,7,8,3,4.47,B2,10.0,2.5,1,0,0,2051,2942,B,,3.0,,25.0,new (Batch 5)
P084U,P084,U,critical,F14,abstract_count_plural_after_numeral,abs_count+numeral+plural,000100,"Before the company meeting, Aiden prepared documents.",Aiden wrote four proposal neatly.,proposal,four proposal,3,no,Aiden,proper_name,,,5,33,7,8,3,4.47,B2,10.0,2.5,1,0,0,2051,2942,A,3.0,,12.0,,new (Batch 5)
GF01,GF01,GF,G_filler,G_filler,G_filler,filler,,"In the empty library, the books waited silently.",The textbook sang loudly yesterday.,,,-1,yes,,no_subject_name,inanimate_animate,none,5,35,8,0,0,,C1,,,0,0,0,2051,3312,AB,4.0,4.0,25.0,14.0,
GF02,GF02,GF,G_filler,G_filler,G_filler,filler,,"On the kitchen counter, ingredients sat waiting.",The flour danced quickly today.,,,-1,yes,,no_subject_name,inanimate_animate,none,5,31,7,0,0,,C1,,,0,0,0,2051,2942,AB,1.0,2.0,7.0,33.0,
GF03,GF03,GF,G_filler,G_filler,G_filler,filler,,"In the rainy garden, water collected slowly.",The roses argued loudly yesterday.,,,-1,yes,,no_subject_name,inanimate_animate,none,5,34,7,0,0,,C1,,,0,0,0,2051,2942,AB,1.0,3.0,8.0,6.0,
